member_id,member,state_district,ticker,instrument,direction,opened_at,closed_or_marked_at,status,holding_days,holding_return_pct,spy_return_pct,excess_return_pct,return_90d_pct,excess_90d_pct,filing_id,source_url
jefferson-shreve,Jefferson Shreve,IN06,DHR,Stock,Long,2015-05-08,2025-04-07,Closed,3622,423,183.3,239.7,9.1,10.2,20030387,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030387.pdf
jefferson-shreve,Jefferson Shreve,IN06,DAL,Stock,Long,2015-05-08,2025-03-13,Closed,3597,7.2,208.8,-201.6,0,1.1,20030387,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030387.pdf
josh-gottheimer,Josh Gottheimer,NJ05,KMI,Stock,Long,2017-01-03,2017-12-18,Closed,349,-14.6,21.4,-36,0.5,-4.5,20009955,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009955.pdf
josh-gottheimer,Josh Gottheimer,NJ05,KMI,Stock,Long,2018-01-18,2018-12-12,Closed,328,-10.9,-3.7,-7.3,-14.4,-11.6,20010354,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010354.pdf
josh-gottheimer,Josh Gottheimer,NJ05,KMI,Stock,Long,2019-01-11,2020-05-04,Closed,479,-7.5,12.2,-19.7,17.7,6,20011063,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20011063.pdf
david-joyce,David P. Joyce,OH14,EFA,Stock,Long,2018-03-29,2026-09-14,Open · latest mark,3091,96.6,228,-131.5,-2.9,-5.7,20008517,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2019/20008517.pdf
thomas-suozzi,Thomas Suozzi,NY03,LOW,Stock,Long,2020-06-15,2020-08-25,Closed,71,30.4,12.6,17.8,27.2,18,20019379,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019379.pdf
thomas-suozzi,Thomas Suozzi,NY03,PYPL,Stock,Long,2021-03-02,2021-05-20,Closed,79,-6.6,7.8,-14.3,-3.4,-12.4,20019379,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019379.pdf
josh-gottheimer,Josh Gottheimer,NJ05,JNJ,Stock,Long,2018-07-31,2026-09-14,Residual · latest mark,2967,151.8,205.5,-53.6,4.5,10.3,20010354,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20010354.pdf
josh-gottheimer,Josh Gottheimer,NJ05,CHKP,Stock,Long,2017-02-21,2022-05-10,Closed,1904,19.2,85,-65.8,8.4,6.6,20009955,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009955.pdf
